LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"410460 Capitão Leônidas Marques";-;-;-;1;-;-;1
"410465 Carambeí";-;-;-;1;-;-;1
"410480 Cascavel";2;-;1;4;6;1;14
"410490 Castro";-;2;-;1;1;2;6
"410520 Cerro Azul";-;-;1;-;-;-;1
"410530 Céu Azul";-;2;1;-;-;-;3
"410540 Chopinzinho";-;-;1;-;-;1;2
"410550 Cianorte";-;-;1;1;1;1;4
"410570 Clevelândia";-;-;1;-;-;-;1
"410580 Colombo";9;12;23;17;31;20;112
"410590 Colorado";-;-;-;1;-;-;1
"410620 Contenda";-;5;-;1;4;1;11
"410630 Corbélia";-;-;-;-;-;1;1
"410640 Cornélio Procópio";1;2;3;5;2;3;16
"410650 Coronel Vivida";-;-;1;-;-;-;1
"410655 Corumbataí do Sul";-;2;-;-;-;-;2
"410690 Curitiba";78;76;111;65;115;90;535
"410720 Dois Vizinhos";-;-;-;1;2;1;4
"410740 Enéas Marques";-;-;-;-;-;1;1
"410750 Engenheiro Beltrão";-;-;-;-;2;1;3
"410753 Entre Rios do Oeste";-;-;1;-;-;-;1
"410754 Espigão Alto do Iguaçu";-;-;-;-;1;-;1
"410755 Farol";-;-;-;-;-;1;1
"410760 Faxinal";-;1;1;-;1;1;4
"410765 Fazenda Rio Grande";2;2;6;1;6;6;23
"410775 Figueira";-;-;1;-;-;-;1
"410810 Flórida";-;-;-;1;-;-;1
"410820 Formosa do Oeste";2;1;1;-;-;-;4
"410830 Foz do Iguaçu";2;2;2;5;2;3;16
"410845 Foz do Jordão";-;-;-;-;-;1;1
"410840 Francisco Beltrão";-;-;-;-;1;1;2
"410850 General Carneiro";-;-;1;-;-;-;1
"410895 Guamiranga";-;-;-;2;-;-;2
"410940 Guarapuava";1;3;-;-;3;4;11
"410950 Guaraqueçaba";-;-;-;-;1;-;1
"410960 Guaratuba";1;1;4;-;-;3;9
"410975 Ibema";-;-;-;-;-;1;1
"410980 Ibiporã";-;1;2;6;3;-;12
"410990 Icaraíma";-;-;1;-;-;-;1
"411000 Iguaraçu";-;1;-;-;-;-;1
"411007 Imbaú";-;-;1;-;-;-;1
"411010 Imbituva";-;1;-;-;-;-;1
"411040 Indianópolis";-;-;2;-;-;-;2
"411060 Iporã";-;1;-;-;-;-;1
"411095 Itaipulândia";-;-;-;-;-;2;2
"411100 Itambaracá";-;-;-;-;1;-;1
"411120 Itapejara d'Oeste";-;-;1;1;-;-;2
"411125 Itaperuçu";-;-;-;1;2;1;4
"411140 Ivaí";-;-;-;-;3;-;3
"411150 Ivaiporã";2;1;2;-;1;-;6
"411170 Jaboti";-;1;-;-;-;-;1
"411190 Jaguapitã";-;-;1;-;1;-;2
"411200 Jaguariaíva";-;-;1;-;1;-;2
"411210 Jandaia do Sul";-;1;-;-;1;-;2
"411230 Japira";-;-;-;-;-;1;1
"411275 Jesuítas";-;-;-;-;1;1;2
"411280 Joaquim Távora";-;-;-;-;-;1;1
"411295 Juranda";-;-;1;-;-;-;1
"411310 Kaloré";-;-;1;-;1;-;2
"411320 Lapa";-;-;-;1;1;1;3
"411330 Laranjeiras do Sul";-;1;-;-;-;-;1
"411350 Loanda";1;-;-;-;-;-;1
"411370 Londrina";2;14;4;3;5;5;33
"411390 Mallet";-;-;-;-;2;1;3
"411400 Mamborê";-;-;2;-;-;-;2
"411410 Mandaguaçu";-;-;1;-;-;-;1
"411450 Manoel Ribas";-;1;-;-;1;-;2
"411460 Marechal Cândido Rondon";-;-;1;-;-;-;1
"411480 Marialva";2;-;5;1;-;-;8
"411490 Marilândia do Sul";-;1;-;-;-;-;1
"411520 Maringá";2;6;2;1;-;-;11
"411530 Mariópolis";-;-;1;1;-;-;2
"411540 Marmeleiro";-;1;-;-;-;-;1
"411570 Matinhos";2;1;5;2;2;2;14
"411575 Mauá da Serra";-;-;-;1;-;-;1
"411580 Medianeira";1;-;-;-;-;2;3
"411620 Morretes";-;-;-;2;-;-;2
"411630 Munhoz de Melo";1;-;-;-;-;-;1
"411660 Nova América da Colina";-;-;1;-;-;-;1
"411690 Nova Esperança";-;-;1;-;1;-;2
"411700 Nova Fátima";-;-;-;-;2;1;3
"411705 Nova Laranjeiras";1;-;-;-;-;-;1
"411725 Nova Prata do Iguaçu";-;-;-;1;-;-;1
"411721 Nova Santa Bárbara";1;-;-;-;-;-;1
"411722 Nova Santa Rosa";-;-;1;-;-;2;3
"411727 Nova Tebas";-;1;-;-;-;-;1
"411730 Ortigueira";-;-;1;-;-;-;1
"411760 Palmas";-;-;-;1;-;1;2
"411770 Palmeira";1;2;-;-;-;2;5
"411790 Palotina";1;-;-;-;4;-;5
"411820 Paranaguá";3;9;8;7;7;16;50
"411840 Paranavaí";-;-;2;-;-;-;2
"411850 Pato Branco";1;-;1;-;1;-;3
"411890 Pérola";1;-;-;-;-;-;1
"411910 Piên";-;-;-;-;2;-;2
"411915 Pinhais";8;6;18;6;2;4;44
"411930 Pinhão";-;-;1;-;-;-;1
"411940 Piraí do Sul";-;-;-;-;1;-;1
"411950 Piraquara";2;4;6;3;4;8;27
"411960 Pitanga";-;2;1;-;-;-;3
"411980 Planalto";-;-;-;-;1;-;1
"411990 Ponta Grossa";1;3;8;6;4;7;29
"411995 Pontal do Paraná";1;-;1;-;1;1;4
"412010 Porto Amazonas";-;-;-;-;1;-;1
"412033 Prado Ferreira";5;-;-;-;-;-;5
"412035 Pranchita";-;-;-;-;1;-;1
"412060 Prudentópolis";-;-;-;-;1;-;1
"412070 Quatiguá";-;1;-;-;-;-;1
"412080 Quatro Barras";1;-;-;-;-;-;1
"412090 Quedas do Iguaçu";-;-;-;-;6;10;16
"412120 Quitandinha";1;1;1;-;6;-;9
"412130 Rancho Alegre";-;-;1;-;-;-;1
"412140 Realeza";-;-;-;-;3;-;3
"412150 Rebouças";1;1;-;-;1;1;4
"412170 Reserva";-;-;-;-;-;2;2
"412175 Reserva do Iguaçu";1;-;-;-;-;-;1
"412180 Ribeirão Claro";-;1;-;-;-;-;1
"412190 Ribeirão do Pinhal";-;-;-;2;-;-;2
"412200 Rio Azul";-;-;-;-;2;-;2
"412215 Rio Bonito do Iguaçu";1;-;-;-;-;1;2
"412217 Rio Branco do Ivaí";-;1;-;1;-;-;2
"412220 Rio Branco do Sul";-;1;2;2;-;2;7
"412230 Rio Negro";-;-;-;-;1;-;1
"412240 Rolândia";-;-;-;1;-;1;2
"412250 Roncador";1;-;-;-;-;-;1
"412260 Rondon";-;-;1;-;-;-;1
"412270 Sabáudia";-;-;-;-;-;1;1
"412280 Salgado Filho";-;-;-;1;1;-;2
"412320 Santa Cecília do Pavão";-;-;-;-;1;-;1
"412340 Santa Fé";-;-;-;-;1;-;1
"412380 Santa Izabel do Oeste";-;-;-;1;-;1;2
"412382 Santa Lúcia";-;1;-;-;-;-;1
"412390 Santa Mariana";-;-;1;-;-;-;1
"412405 Santa Terezinha de Itaipu";-;-;-;-;-;1;1
"412490 São João do Caiuá";-;-;-;1;-;-;1
"412530 São Jorge do Ivaí";1;-;-;-;-;-;1
"412550 São José dos Pinhais";6;7;10;4;6;12;45
"412560 São Mateus do Sul";-;-;-;-;1;1;2
"412570 São Miguel do Iguaçu";-;3;-;-;2;-;5
"412580 São Pedro do Ivaí";-;-;1;-;-;1;2
"412600 São Sebastião da Amoreira";-;1;-;-;-;-;1
"412620 Sapopema";-;1;-;-;-;-;1
"412625 Sarandi";1;-;1;1;3;-;6
"412627 Saudade do Iguaçu";-;-;1;-;-;-;1
"412630 Sengés";-;-;-;-;-;1;1
"412635 Serranópolis do Iguaçu";2;-;1;-;1;1;5
"412640 Sertaneja";-;1;1;1;-;-;3
"412660 Siqueira Campos";-;1;-;-;-;-;1
"412667 Tamarana";-;-;-;-;1;-;1
"412710 Telêmaco Borba";1;1;-;1;1;4;8
"412730 Terra Rica";-;-;-;-;-;1;1
"412740 Terra Roxa";-;-;-;-;-;1;1
"412750 Tibagi";-;2;-;2;1;-;5
"412760 Tijucas do Sul";-;-;-;1;-;-;1
"412770 Toledo";-;1;2;5;3;-;11
"412780 Tomazina";-;-;-;-;1;-;1
"412785 Três Barras do Paraná";-;-;-;-;-;2;2
"412795 Tupãssi";-;-;-;-;1;-;1
"412796 Turvo";-;1;-;-;-;-;1
"412800 Ubiratã";-;1;-;-;1;-;2
"412810 Umuarama";1;-;-;-;-;-;1
"412820 União da Vitória";-;-;-;-;1;1;2
"412840 Uraí";-;-;-;-;-;1;1
"412855 Vera Cruz do Oeste";-;-;-;2;3;2;7
"412860 Verê";1;-;-;1;1;-;3
"412865 Virmond";-;-;-;-;1;-;1
"412870 Vitorino";1;-;-;-;-;-;1
"420010 Abelardo Luz";1;-;1;-;-;-;2
"420040 Água Doce";-;1;-;-;-;-;1
"420050 Águas de Chapecó";-;-;-;-;-;1;1
"420060 Águas Mornas";-;1;1;1;1;-;4
"420080 Anchieta";1;-;-;-;-;-;1
"420090 Angelina";-;-;-;-;2;-;2
"420110 Anitápolis";-;-;-;2;-;-;2
"420120 Antônio Carlos";-;-;2;4;4;2;12
"420127 Arabutã";-;-;-;-;1;2;3
"420130 Araquari";-;-;1;2;4;1;8
"420140 Araranguá";1;3;2;2;2;1;11
"420150 Armazém";-;-;-;-;1;-;1
"420160 Arroio Trinta";-;-;-;-;-;1;1
"420180 Atalanta";-;-;-;-;1;-;1
"420190 Aurora";-;-;-;-;-;1;1
"420195 Balneário Arroio do Silva";-;1;-;-;-;-;1
"420200 Balneário Camboriú";1;6;9;2;4;3;25
"421280 Balneário Piçarras";-;-;-;2;1;-;3
"420208 Bandeirante";-;-;-;-;1;-;1
"420215 Belmonte";-;-;-;-;2;-;2
"420220 Benedito Novo";1;-;2;-;-;-;3
"420230 Biguaçu";3;1;4;1;1;2;12
"420240 Blumenau";34;13;28;21;34;18;148
"420257 Bom Jesus do Oeste";-;-;-;-;1;-;1
"420260 Bom Retiro";-;-;-;-;2;1;3
"420245 Bombinhas";1;1;-;-;-;1;3
"420270 Botuverá";1;-;1;-;10;-;12
"420280 Braço do Norte";1;-;-;-;-;-;1
"420287 Brunópolis";-;-;-;1;-;-;1
"420290 Brusque";15;10;8;10;9;12;64
"420300 Caçador";-;-;-;-;-;1;1
"420310 Caibi";1;-;-;1;-;-;2
"420320 Camboriú";-;1;1;1;1;3;7
"420370 Canelinha";-;-;-;-;1;3;4
"420380 Canoinhas";-;2;-;-;1;1;4
"420390 Capinzal";-;-;-;-;-;1;1
"420395 Capivari de Baixo";-;1;-;-;4;1;6
"420400 Catanduvas";-;-;-;-;-;1;1
"420420 Chapecó";5;3;1;3;2;2;16
"420430 Concórdia";5;2;2;2;5;9;25
"420435 Cordilheira Alta";-;-;-;-;-;1;1
"420440 Coronel Freitas";-;-;-;1;1;1;3
"420455 Correia Pinto";1;-;-;-;-;-;1
"420450 Corupá";3;4;4;5;6;9;31
"420460 Criciúma";6;3;3;4;3;2;21
"420470 Cunha Porã";-;-;-;-;3;-;3
"420480 Curitibanos";-;-;-;-;1;1;2
"420490 Descanso";1;-;-;-;1;-;2
"420500 Dionísio Cerqueira";-;-;-;-;-;6;6
"420515 Doutor Pedrinho";-;-;4;3;1;-;8
"420517 Entre Rios";-;-;1;-;-;-;1
"420519 Ermo";-;-;-;-;1;-;1
"420540 Florianópolis";8;6;3;15;20;16;68
"420545 Forquilhinha";-;1;-;-;2;4;7
"420550 Fraiburgo";-;1;-;-;-;-;1
"420560 Galvão";2;-;-;-;-;-;2
"420570 Garopaba";-;3;1;-;5;-;9
"420580 Garuva";-;1;-;-;1;1;3
"420590 Gaspar";17;9;25;23;15;9;98
"420600 Governador Celso Ramos";1;-;-;1;-;-;2
"420610 Grão Pará";-;-;-;-;-;1;1
"420620 Gravatal";2;1;1;1;1;-;6
"420630 Guabiruba";4;1;2;-;-;-;7
"420640 Guaraciaba";-;-;2;1;-;2;5
"420650 Guaramirim";2;-;3;7;14;17;43
"420660 Guarujá do Sul";1;-;-;-;-;1;2
"420670 Herval d'Oeste";-;1;-;-;2;-;3
"420690 Ibirama";2;1;-;-;-;-;3
"420700 Içara";3;-;-;-;-;-;3
"420710 Ilhota";2;3;2;3;4;1;15
"420720 Imaruí";-;-;1;-;-;3;4
"420740 Imbuia";-;-;-;1;-;-;1
"420750 Indaial";1;-;2;1;1;-;5
"420765 Iporã do Oeste";-;-;-;-;4;11;15
"420768 Ipuaçu";1;-;-;-;1;-;2
"420770 Ipumirim";-;1;-;-;3;-;4
"420775 Iraceminha";-;1;-;-;-;-;1
"420785 Irati";-;-;-;-;1;-;1
"420800 Itá";-;-;-;-;1;1;2
"420810 Itaiópolis";-;-;-;-;-;1;1
"420820 Itajaí";19;8;12;11;9;7;66
"420830 Itapema";1;1;-;4;1;-;7
"420840 Itapiranga";-;-;-;-;2;1;3
"420845 Itapoá";-;-;2;-;-;-;2
"420850 Ituporanga";1;-;-;-;-;-;1
"420860 Jaborá";-;-;-;-;1;-;1
"420870 Jacinto Machado";-;-;1;-;-;1;2
"420880 Jaguaruna";-;2;1;1;2;3;9
"420890 Jaraguá do Sul";20;5;33;32;37;40;167
"420895 Jardinópolis";-;-;-;1;1;-;2
"420900 Joaçaba";1;-;-;-;-;-;1
"420910 Joinville";54;31;50;58;33;30;256
"420917 Jupiá";1;-;-;-;-;-;1
"420930 Lages";-;1;-;-;3;-;4
"420940 Laguna";2;1;2;-;4;-;9
"420960 Lauro Muller";-;-;-;1;-;-;1
"420980 Leoberto Leal";-;1;-;-;-;-;1
"420990 Lontras";-;1;-;-;-;-;1
"421000 Luiz Alves";3;-;2;-;-;-;5
"421003 Luzerna";-;-;-;-;-;1;1
"421005 Macieira";-;-;-;-;2;4;6
"421010 Mafra";-;-;-;-;-;1;1
"421020 Major Gercino";1;-;-;-;1;-;2
"421030 Major Vieira";-;-;1;-;-;-;1
"421040 Maracajá";-;-;1;2;-;-;3
"421050 Maravilha";-;-;-;-;3;-;3
"421060 Massaranduba";-;3;6;6;9;4;28
"421070 Matos Costa";-;-;-;-;-;3;3
"421080 Meleiro";-;-;-;-;2;-;2
"421090 Modelo";-;-;-;-;1;-;1
"421100 Mondaí";-;1;-;-;1;3;5
"421130 Navegantes";5;4;4;4;2;-;19
"421145 Nova Itaberaba";-;-;-;-;-;1;1
"421150 Nova Trento";-;-;1;1;-;-;2
"421160 Nova Veneza";8;4;5;4;6;1;28
"421165 Novo Horizonte";-;-;-;-;-;1;1
"421185 Ouro Verde";-;1;-;-;-;-;1
"421190 Palhoça";15;6;6;6;10;6;49
"421210 Palmitos";1;-;3;-;3;-;7
"421223 Paraíso";-;-;-;-;-;1;1
"421230 Paulo Lopes";-;-;1;-;-;2;3
"421240 Pedras Grandes";-;2;-;1;-;-;3
"421250 Penha";1;2;-;-;1;-;4
"421260 Peritiba";1;-;-;-;1;-;2
"421290 Pinhalzinho";-;-;-;-;-;1;1
"421320 Pomerode";1;2;1;-;3;4;11
"421350 Porto Belo";1;-;1;-;-;-;2
"421360 Porto União";1;2;3;-;-;2;8
"421370 Pouso Redondo";1;4;2;5;6;4;22
"421380 Praia Grande";-;-;1;-;-;1;2
"421390 Presidente Castello Branco";-;-;-;-;1;-;1
"421400 Presidente Getúlio";-;-;1;-;-;-;1
"421410 Presidente Nereu";1;-;-;-;-;-;1
"421420 Quilombo";-;-;-;2;1;3;6
"421440 Rio das Antas";-;-;-;-;-;1;1
"421460 Rio do Oeste";-;1;4;2;1;-;8
"421480 Rio do Sul";-;1;4;-;-;-;5
"421470 Rio dos Cedros";-;-;1;-;-;1;2
"421500 Rio Negrinho";-;-;-;-;1;-;1
"421507 Riqueza";-;1;1;-;4;7;13
"421510 Rodeio";4;-;1;1;-;1;7
"421530 Salete";1;1;-;-;-;2;4
"421540 Salto Veloso";-;-;-;-;1;1;2
"421545 Sangão";-;1;-;1;-;-;2
"421555 Santa Helena";-;-;-;-;4;-;4
"421565 Santa Rosa do Sul";-;1;-;-;-;1;2
"421567 Santa Terezinha";-;-;-;-;-;1;1
"421570 Santo Amaro da Imperatriz";6;-;3;7;2;6;24
"421580 São Bento do Sul";-;1;3;-;2;-;6
"421610 São Domingos";1;-;-;-;-;-;1
"421620 São Francisco do Sul";2;-;2;-;1;-;5
"421630 São João Batista";2;3;2;-;1;2;10
"421635 São João do Itaperiú";-;-;1;-;3;-;4
"421660 São José";3;7;4;7;5;7;33
"421670 São José do Cedro";-;-;1;-;1;-;2
"421690 São Lourenço do Oeste";-;-;-;1;-;1;2
"421700 São Ludgero";2;-;-;-;-;-;2
"421710 São Martinho";-;-;-;-;-;1;1
"421720 São Miguel do Oeste";1;1;-;-;5;1;8
"421725 São Pedro de Alcântara";-;1;-;-;5;-;6
"421730 Saudades";1;-;-;-;-;-;1
"421740 Schroeder";3;-;5;2;7;4;21
"421750 Seara";1;-;1;-;-;-;2
"421760 Siderópolis";-;1;-;2;2;1;6
"421770 Sombrio";-;-;1;-;-;1;2
"421780 Taió";-;1;1;2;-;-;4
"421800 Tijucas";8;-;1;2;11;2;24
"421810 Timbé do Sul";-;-;-;2;-;-;2
"421820 Timbó";5;3;5;7;3;4;27
"421830 Três Barras";-;-;1;-;-;1;2
"421835 Treviso";-;1;-;-;1;1;3
"421860 Trombudo Central";-;-;1;-;-;-;1
"421870 Tubarão";20;5;3;7;9;5;49
"421875 Tunápolis";-;-;-;-;5;4;9
"421880 Turvo";-;-;1;-;-;-;1
"421885 União do Oeste";-;-;-;1;-;-;1
"421890 Urubici";-;1;-;-;-;-;1
"421900 Urussanga";-;-;1;-;-;-;1
"421917 Vargem Bonita";-;-;-;-;-;8;8
"421920 Vidal Ramos";1;-;-;-;-;-;1
"421930 Videira";-;1;-;-;-;1;2
"421935 Vitor Meireles";1;-;-;-;-;-;1
"421950 Xanxerê";-;1;-;-;-;-;1
"421960 Xavantina";-;-;1;-;-;-;1
"421970 Xaxim";1;1;-;-;-;-;2
"430010 Agudo";1;4;5;3;5;-;18
"430020 Ajuricaba";1;-;-;-;-;-;1
"430030 Alecrim";-;-;-;-;-;1;1
"430040 Alegrete";2;-;1;-;-;1;4
"430045 Alegria";-;-;-;-;1;-;1
"430060 Alvorada";39;4;19;2;4;8;76
"430063 Amaral Ferrador";-;-;-;1;-;-;1
"430064 Ametista do Sul";-;-;-;-;1;-;1
"430080 Antônio Prado";-;-;-;-;-;1;1
"430085 Arambaré";1;-;-;-;-;1;2
"430087 Araricá";-;-;-;-;-;1;1
"430100 Arroio do Meio";4;-;2;-;1;1;8
"430107 Arroio do Padre";-;-;1;-;-;-;1
"430110 Arroio dos Ratos";-;-;-;-;-;1;1
"430130 Arroio Grande";7;1;4;-;-;-;12
"430150 Augusto Pestana";-;-;1;-;-;1;2
"430160 Bagé";1;-;1;-;-;-;2
"430165 Barão";1;-;-;-;-;-;1
"430190 Barra do Ribeiro";-;-;-;1;-;-;1
"430210 Bento Gonçalves";1;-;2;-;-;5;8
"430220 Boa Vista do Buricá";3;-;1;-;-;3;7
"430222 Boa Vista do Cadeado";-;-;-;-;-;1;1
"430225 Boa Vista do Sul";-;-;-;-;1;-;1
"430235 Bom Princípio";-;1;-;-;-;-;1
"430237 Bom Progresso";-;-;1;-;-;-;1
"430240 Bom Retiro do Sul";1;1;-;-;-;-;2
"430258 Bozano";-;-;-;-;3;1;4
"430260 Braga";1;-;-;-;-;-;1
"430265 Brochier";-;2;-;-;-;1;3
"430280 Caçapava do Sul";-;-;1;-;-;-;1
"430300 Cachoeira do Sul";5;1;2;-;-;2;10
"430310 Cachoeirinha";10;3;2;-;2;5;22
"430350 Camaquã";42;8;8;3;4;9;74
"430360 Cambará do Sul";1;-;-;-;-;-;1
"430367 Campestre da Serra";-;-;1;-;-;-;1
"430370 Campina das Missões";-;-;1;-;-;-;1
"430390 Campo Bom";1;2;8;1;1;1;14
"430420 Candelária";11;22;22;4;4;10;73
"430430 Cândido Godói";-;-;1;-;2;6;9
"430450 Canguçu";12;4;2;1;2;8;29
"430460 Canoas";22;4;12;3;14;12;67
"430463 Capão da Canoa";1;-;1;1;-;-;3
"430466 Capão do Leão";-;-;3;5;-;4;12
"430468 Capela de Santana";-;-;-;-;-;1;1
"430469 Capitão";-;1;-;-;-;-;1
"430467 Capivari do Sul";1;1;-;1;5;34;42
"430470 Carazinho";-;-;-;-;1;-;1
"430500 Catuípe";1;-;-;-;-;1;2
"430510 Caxias do Sul";7;4;7;1;3;9;31
"430512 Cerrito";-;1;-;-;-;-;1
"430513 Cerro Branco";-;3;6;-;1;3;13
"430517 Cerro Grande do Sul";1;-;-;-;-;-;1
"430530 Chapada";1;-;-;-;-;-;1
"430535 Charqueadas";9;-;-;2;-;-;11
"430537 Charrua";1;-;-;-;-;-;1
"430544 Chuvisca";1;-;-;-;1;1;3
"430558 Colinas";4;-;1;-;-;-;5
"430580 Constantina";-;-;-;2;-;-;2
"430587 Coronel Barros";-;-;-;-;-;2;2
"430600 Crissiumal";1;-;1;-;-;-;2
"430605 Cristal";-;-;-;-;-;1;1
"430610 Cruz Alta";3;-;-;-;-;2;5
"430620 Cruzeiro do Sul";2;-;-;-;-;-;2
"430632 Derrubadas";2;-;1;-;2;1;6
"430637 Dilermando de Aguiar";-;-;1;-;-;-;1
"430640 Dois Irmãos";1;1;2;-;1;2;7
"430650 Dom Feliciano";2;-;-;-;1;-;3
"430655 Dom Pedro de Alcântara";-;-;-;-;-;2;2
"430670 Dona Francisca";5;1;4;-;-;-;10
"430673 Doutor Maurício Cardoso";2;-;-;-;-;2;4
"430676 Eldorado do Sul";2;2;1;-;2;2;9
"430680 Encantado";1;1;1;-;-;-;3
"430690 Encruzilhada do Sul";-;-;-;-;-;1;1
"430695 Entre Rios do Sul";1;-;-;-;-;-;1
"430693 Entre-Ijuís";-;1;-;-;-;1;2
"430700 Erechim";3;1;-;-;1;1;6
"430730 Erval Seco";-;-;-;-;-;1;1
"430745 Esperança do Sul";-;-;-;-;1;-;1
"430760 Estância Velha";2;1;4;1;-;1;9
"430770 Esteio";4;3;3;2;4;2;18
"430780 Estrela";8;2;7;-;8;8;33
"430781 Estrela Velha";-;1;-;-;-;-;1
"430783 Eugênio de Castro";-;-;1;-;-;-;1
"430790 Farroupilha";3;-;-;-;-;-;3
"430800 Faxinal do Soturno";-;2;3;-;3;7;15
"430807 Fazenda Vilanova";4;-;1;-;-;-;5
"430810 Feliz";1;-;-;-;-;-;1
"430840 Formigueiro";1;-;-;-;-;-;1
"430843 Forquetinha";-;-;-;-;-;1;1
"430850 Frederico Westphalen";3;-;-;-;-;-;3
"430880 General Câmara";-;2;-;-;2;-;4
"430900 Giruá";1;-;1;1;-;-;3
"430905 Glorinha";-;1;1;-;-;-;2
"430920 Gravataí";14;9;6;-;4;2;35
"430930 Guaíba";6;-;2;-;1;2;11
"430950 Guarani das Missões";3;-;-;-;-;1;4
"430955 Harmonia";1;3;-;-;-;1;5
"430710 Herval";3;2;1;-;-;-;6
"430960 Horizontina";1;1;-;-;-;-;2
"430975 Ibarama";1;-;-;-;-;-;1
"431000 Ibirubá";2;-;-;-;-;1;3
"431010 Igrejinha";2;1;-;1;-;2;6
"431020 Ijuí";6;2;8;3;7;10;36
"431033 Imbé";1;-;-;-;-;-;1
"431036 Imigrante";-;-;1;-;-;-;1
"431040 Independência";-;-;-;1;-;2;3
"431050 Iraí";1;-;-;-;-;2;3
"431075 Ivorá";1;-;-;-;-;-;1
"431080 Ivoti";3;1;2;-;1;-;7
"431100 Jaguarão";-;1;-;-;1;2;4
"431120 Júlio de Castilhos";-;1;-;1;-;1;3
"431140 Lajeado";4;2;4;-;1;4;15
"431150 Lavras do Sul";-;-;1;-;-;-;1
"431162 Lindolfo Collor";-;-;1;-;-;-;1
"431175 Manoel Viana";-;-;1;-;-;-;1
"431177 Maquiné";-;1;-;-;-;-;1
"431179 Maratá";1;-;-;-;-;-;1
"431190 Marcelino Ramos";1;-;-;-;-;-;1
"431198 Mariana Pimentel";-;-;2;-;1;-;3
"431205 Marques de Souza";-;-;-;-;1;-;1
"431210 Mata";-;-;1;-;-;1;2
"431215 Mato Leitão";6;2;3;1;3;-;15
"431240 Montenegro";11;2;4;-;2;2;21
"431250 Mostardas";2;-;-;1;4;4;11
"431290 Nova Bassano";-;-;-;-;-;1;1
"431300 Nova Bréscia";-;-;-;1;-;1;2
"431301 Nova Candelária";1;-;-;-;1;1;3
"431306 Nova Hartz";3;1;-;1;-;-;5
"431310 Nova Palma";-;2;4;-;-;-;6
"431337 Nova Santa Rita";12;-;1;-;-;-;13
"431339 Novo Cabrais";-;3;4;-;-;-;7
"431340 Novo Hamburgo";25;4;10;7;6;15;67
"431342 Novo Machado";-;-;1;-;-;2;3
"431350 Osório";-;-;-;-;-;1;1
"431365 Palmares do Sul";-;1;2;-;4;4;11
"431370 Palmeira das Missões";-;-;-;-;-;1;1
"431390 Panambi";2;-;-;-;-;-;2
"431395 Pantano Grande";2;-;1;-;-;-;3
"431402 Paraíso do Sul";15;6;5;1;3;2;32
"431403 Pareci Novo";1;-;-;-;-;-;1
"431405 Parobé";3;2;2;-;-;2;9
"431407 Passo do Sobrado";18;10;3;3;1;2;37
"431410 Passo Fundo";1;2;1;-;-;2;6
"431415 Paverama";-;-;-;-;-;3;3
"431420 Pedro Osório";-;-;-;1;-;-;1
"431430 Pejuçara";3;-;-;-;-;-;3
"431440 Pelotas";100;5;17;7;6;10;145
"431445 Pinhal";3;-;-;-;-;-;3
"431447 Pinhal Grande";-;-;-;-;1;-;1
"431460 Piratini";-;1;-;-;-;-;1
"431480 Portão";-;-;2;2;-;2;6
"431490 Porto Alegre";83;14;36;20;37;40;230
"431500 Porto Lucena";4;1;-;1;-;-;6
"431505 Porto Mauá";7;-;-;1;1;2;11
"431507 Porto Vera Cruz";1;1;-;-;-;-;2
"431514 Presidente Lucena";-;-;1;-;-;-;1
"431530 Quaraí";-;-;1;-;-;-;1
"431540 Redentora";-;-;-;-;1;1;2
"431550 Restinga Seca";1;2;3;1;2;3;12
"431560 Rio Grande";20;30;14;-;7;8;79
"431570 Rio Pardo";5;3;10;-;6;9;33
"431580 Roca Sales";3;4;1;-;2;4;14
"431600 Rolante";2;-;-;-;1;1;4
"431650 Salvador do Sul";-;-;-;1;-;-;1
"431710 Sant'Ana do Livramento";1;-;-;-;-;2;3
"431670 Santa Bárbara do Sul";-;-;-;-;1;-;1
"431680 Santa Cruz do Sul";39;16;40;11;10;27;143
"431690 Santa Maria";58;13;31;5;14;31;152
"431695 Santa Maria do Herval";1;-;-;-;1;-;2
"431720 Santa Rosa";11;1;5;1;3;10;31
"431730 Santa Vitória do Palmar";120;86;32;12;18;30;298
"431700 Santana da Boa Vista";2;-;-;-;-;-;2
"431740 Santiago";1;-;-;-;1;-;2
"431750 Santo Ângelo";4;1;2;-;2;3;12
"431760 Santo Antônio da Patrulha";-;1;3;2;-;2;8
"431770 Santo Antônio das Missões";1;1;-;-;-;-;2
"431790 Santo Cristo";-;-;-;1;1;2;4
"431800 São Borja";-;-;-;-;1;1;2
"431810 São Francisco de Assis";-;2;2;-;1;1;6
"431820 São Francisco de Paula";-;-;-;-;-;1;1
"431840 São Jerônimo";-;2;1;-;1;1;5
"431843 São João do Polêsine";10;3;4;-;1;-;18
"431845 São José das Missões";-;1;-;-;-;-;1
"431848 São José do Hortêncio";-;-;-;-;-;1;1
"431849 São José do Inhacorá";2;-;3;-;1;2;8
"431850 São José do Norte";2;-;2;-;1;1;6
"431861 São José do Sul";-;-;1;-;-;-;1
"431870 São Leopoldo";21;10;8;4;7;7;57
"431880 São Lourenço do Sul";3;1;-;-;-;-;4
