LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"230860 Monsenhor Tabosa";-;1;-;-;-;-;1
"230870 Morada Nova";-;1;-;-;1;2;4
"230900 Mucambo";-;-;-;1;-;-;1
"230910 Mulungu";-;-;1;-;-;-;1
"230930 Nova Russas";-;-;-;-;2;-;2
"230940 Novo Oriente";-;-;1;-;-;-;1
"230945 Ocara";-;-;-;1;-;-;1
"230960 Pacajus";-;1;-;-;-;1;2
"230970 Pacatuba";2;1;1;2;-;-;6
"230980 Pacoti";3;1;1;1;4;1;11
"231000 Palhano";-;1;-;-;-;-;1
"231010 Palmácia";-;1;-;-;-;-;1
"231025 Paraipaba";-;-;-;-;-;1;1
"231030 Parambu";1;-;-;-;-;-;1
"231050 Pedra Branca";-;-;-;1;-;1;2
"231090 Piquet Carneiro";-;-;-;2;-;-;2
"231095 Pires Ferreira";1;-;-;2;-;-;3
"231180 Russas";-;-;1;-;-;-;1
"231240 São Gonçalo do Amarante";-;-;-;-;3;-;3
"231270 Senador Pompeu";-;-;-;-;-;1;1
"231290 Sobral";-;-;-;1;1;1;3
"231310 Tabuleiro do Norte";-;-;-;-;1;-;1
"231355 Tururu";-;-;1;-;-;1;2
"231410 Viçosa do Ceará";-;-;-;2;-;-;2
"240200 Caicó";-;-;1;-;2;-;3
"240460 Ielmo Marinho";-;1;-;-;-;-;1
"240490 Itaú";-;-;-;-;-;1;1
"240560 Jardim de Piranhas";1;-;-;-;-;-;1
"240710 Macaíba";3;-;-;-;-;-;3
"240800 Mossoró";-;1;-;1;1;-;3
"240810 Natal";-;5;2;8;1;5;21
"240820 Nísia Floresta";-;1;-;-;-;-;1
"240830 Nova Cruz";-;-;-;1;-;-;1
"240325 Parnamirim";-;-;-;-;-;1;1
"240930 Patu";-;-;1;-;-;-;1
"240940 Pau dos Ferros";-;-;1;-;-;-;1
"241090 Riachuelo";-;-;-;1;-;-;1
"241170 São Bento do Trairí";-;-;-;-;1;-;1
"241200 São Gonçalo do Amarante";2;-;1;-;-;-;3
"241220 São José de Mipibu";-;-;-;1;-;-;1
"241240 São José do Seridó";-;-;-;-;-;2;2
"241260 São Paulo do Potengi";1;-;-;-;-;-;1
"241280 São Rafael";1;1;-;-;-;-;2
"241440 Touros";-;1;-;-;-;-;1
"241450 Umarizal";-;-;2;-;-;-;2
"241480 Vera Cruz";-;-;1;-;-;-;1
"241490 Viçosa";-;-;1;-;-;-;1
"250030 Alagoa Grande";-;-;-;7;-;-;7
"250050 Alagoinha";-;-;1;1;-;-;2
"250180 Bayeux";-;4;4;6;5;1;20
"250280 Brejo do Cruz";-;-;-;-;-;1;1
"250300 Caaporã";-;-;-;1;-;-;1
"250320 Cabedelo";-;2;2;4;-;2;10
"250400 Campina Grande";-;1;1;4;5;3;14
"250640 Gurinhém";-;-;-;1;-;-;1
"250690 Itabaiana";-;-;-;-;-;1;1
"250730 Jacaraú";-;-;-;1;-;-;1
"250750 João Pessoa";-;2;11;12;6;5;36
"250840 Lastro";2;9;-;-;-;-;11
"250860 Lucena";-;-;1;-;-;-;1
"250890 Mamanguape";-;-;-;2;-;-;2
"250930 Mataraca";-;-;-;-;-;1;1
"250980 Mulungu";-;-;-;3;-;-;3
